"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" RN7SKP208 ",-1.90838,8.24241,-19.9423118173631,2.2778332784067e-09,2.49246292111855e-07,12.22285816974
" FXYD7 ",-1.72909333333333,8.86547666666667,-19.9093872462205,2.31484106475846e-09,2.52112152786568e-07,12.206327356907
" WDR74 ",1.3342,11.7848333333333,19.8311092951725,2.40550529890749e-09,2.60767962798311e-07,12.1669067621168
" OR9Q1 ",-1.51695,9.309825,-19.7859494407944,2.45957958020725e-09,2.65395468869862e-07,12.144087998565
" DNAJC6 ",1.74223333333333,7.31050666666667,19.766845190272,2.48285547135801e-09,2.66672407700189e-07,12.1344179467365
" DDX28 ",-3.39809666666666,7.55712833333333,-19.7534839738805,2.49927794927029e-09,2.67204913594691e-07,12.1276488810861
" DDT ",-1.50303333333334,10.2303166666667,-19.743707548632,2.51136985496191e-09,2.67271676756152e-07,12.1226928209018
" GAB1 ",1.58931333333334,8.11921,19.7145106501139,2.54786582788119e-09,2.69923222047395e-07,12.1078760126476
" OR7E8P ",1.83296666666667,8.9808,19.6815968461603,2.58970761228085e-09,2.72783248860787e-07,12.0911446240148
" GNS ",-1.81164,9.38518,-19.6749333483927,2.59827010113248e-09,2.72783248860787e-07,12.087753642348
" WDR24 ",-1.50602666666667,9.97222,-19.6550303801087,2.6240307063398e-09,2.74252393150949e-07,12.0776178824068
" ITIH2 ",-1.66807666666666,9.01840166666667,-19.5845891572395,2.71748077949627e-09,2.81857419186781e-07,12.0416562894045
